task_num,micro_tag,text,correct_answer,explanation
4,ударения,"Укажите варианты ответов, в которых верно выделена буква, обозначающая ударный гласный звук. Запишите номера ответов. 1) крАлась 2) кровоточАщий 3) дешевИзна 4) балОванный 5) Отрочество",1345,"крАлась, дешевИзна, балОванный, Отрочество — верно. Неверно: кровоточАщий (правильно: кровоточИщий). Ответ: 1345"
4,ударения,"Укажите варианты ответов, в которых верно выделена буква, обозначающая ударный гласный звук. Запишите номера ответов. 1) каталОг 2) тОрты 3) позвонИт 4) бантЫ 5) жалюзИ",1235,"каталОг, тОрты, позвонИт, жалюзИ — верно. Неверно: бантЫ (правильно: бАнты). Ответ: 1235"
4,ударения,"Укажите варианты ответов, в которых верно выделена буква, обозначающая ударный гласный звук. Запишите номера ответов. 1) столЯр 2) клАла 3) красИвее 4) донЕльзя 5) щАвель",1234,"столЯр, клАла, красИвее, донЕльзя — верно. Неверно: щАвель (правильно: щавЕль). Ответ: 1234"
4,ударения,"Укажите варианты ответов, в которых верно выделена буква, обозначающая ударный гласный звук. Запишите номера ответов. 1) зАгодя 2) Апостроф 3) дИспансер 4) квартАл 5) экспЕрт",145,"зАгодя, квартАл, экспЕрт — верно. Неверно: Апостроф (правильно: апострОф), дИспансер (правильно: диспансЕр). Ответ: 145"
4,ударения,"Укажите варианты ответов, в которых верно выделена буква, обозначающая ударный гласный звук. Запишите номера ответов. 1) кОрысть 2) кремЕнь 3) лОмоть 4) кУхонный 5) лыжнЯ",245,"кремЕнь, кУхонный, лыжнЯ — верно. Неверно: кОрысть (правильно: корЫсть), лОмоть (правильно: ломОть). Ответ: 245"
5,паронимы,"В одном из приведённых ниже предложений НЕВЕРНО употреблено выделенное слово. Исправьте лексическую ошибку, подобрав к выделенному слову пароним. Запишите подобранное слово.\nБабушка попросила ОДЕТЬ на ребёнка шапку.\nОн был человеком ДОВЕРЧИВЫМ и часто обжигался.\nДИПЛОМАТИЧЕСКИЕ отношения между странами были разорваны.\nВЕЛИКИЙ писатель оставил после себя богатое наследие.\nЭтот метод оказался очень ЭФФЕКТИВНЫМ.",надеть,"Одеть можно кого-то (одеть ребёнка), а надеть — что-то на кого-то (надеть шапку). Ответ: надеть"
5,паронимы,"В одном из приведённых ниже предложений НЕВЕРНО употреблено выделенное слово. Исправьте лексическую ошибку, подобрав к выделенному слову пароним. Запишите подобранное слово.\nАктриса приняла ЭФФЕКТИВНУЮ позу, чтобы привлечь внимание фотографов.\nСЛОВАРНЫЙ запас нужно постоянно пополнять.\nЭто был ПРАКТИЧЕСКИЙ совет, который помог в работе.\nДля ГАРАНТИЙНОГО ремонта необходимо предъявить чек.\nВокруг раскинулся ЛЕСИСТЫЙ холм.",эффектную,"Эффективный — приводящий к результату. Эффектный — производящий впечатление (эффектная поза). Ответ: эффектную"
5,паронимы,"В одном из приведённых ниже предложений НЕВЕРНО употреблено выделенное слово. Исправьте лексическую ошибку, подобрав к выделенному слову пароним. Запишите подобранное слово.\nКонтролёр попросил пассажиров ОПЛАТИТЬ за проезд.\nКАМЕНИСТАЯ почва затрудняла земледелие.\nОн всегда носил ПРАКТИЧНУЮ одежду.\nНаступили ЖЕСТОКИЕ морозы.\nМальчик проявил ИЗОБРЕТАТЕЛЬНОСТЬ в решении задачи.",заплатить,"Оплатить можно что-то (оплатить проезд), а заплатить — за что-то (заплатить за проезд). Ответ: заплатить"
5,паронимы,"В одном из приведённых ниже предложений НЕВЕРНО употреблено выделенное слово. Исправьте лексическую ошибку, подобрав к выделенному слову пароним. Запишите подобранное слово.\nЕго ГОРДОСТЬ не позволила ему признать свою вину перед друзьями, что привело к ссоре.\nКоллектив фабрики перевыполнил ГОДОВОЙ план.\nМолодой учёный представил ИНФОРМАТИВНЫЙ доклад.\nЖИЗНЕННЫЙ путь этого человека был полон трудностей.\nНа столе стояла ГЛИНЯНАЯ посуда.",гордыня,"Гордость — чувство собственного достоинства. Гордыня — чрезмерная высокомерность, которая мешает признать вину. Ответ: гордыня"
5,паронимы,"В одном из приведённых ниже предложений НЕВЕРНО употреблено выделенное слово. Исправьте лексическую ошибку, подобрав к выделенному слову пароним. Запишите подобранное слово.\nМежду друзьями установились ДОВЕРЧИВЫЕ отношения.\nПРОСВЕТИТЕЛЬСКАЯ деятельность поэта была известна всей стране.\nОни ОПЛАТИЛИ счёт в ресторане.\nЗа окном раздался ЗВУЧНЫЙ голос.\nВдали виднелись ВЕЛИЧЕСТВЕННЫЕ горы.",доверительные,"Доверчивый — легко доверяющий людям (доверчивый ребенок). Доверительный — выражающий доверие (доверительные отношения). Ответ: доверительные"
